AUTO_NUM,CD_CC9,CD_CRP,CD_DMU,CD_ETA,CD_GHU,CD_SHI,CD_TYPE_ACT,CD_UGC,CD_UGL,Année,Trimestre,Mois,Jour,Année,Trimestre,Mois,Jour,Année,Trimestre,Mois,Jour,Année,Trimestre,Mois,Jour,FL_ACTIF,FL_OF,LB_CC9,LB_CRP,LB_DMU,LB_ETA,LB_GHU,LB_TYPE_ACT,LB_UGC,LB_UGL,SOURCE
65,92232000,H,703,005,NUP,NON,32,2992,0057032992,2021,Qtr 2,avril,12,,,,,2021,Qtr 2,avril,12,2025,Qtr 4,octobre,13,N,O,MEDECINE NUCLEAIRE,CRPP,DREAM,HOPITAL BEAUJON,NORD,IMAGERIE MEDICALE,MED NUCL TEP GCS,MED NUCL TEP GCS,ldz_structure
66,92302260,H,703,005,NUP,NON,04,2993,0057032993,2022,Qtr 2,juin,23,,,,,2022,Qtr 2,juin,23,2025,Qtr 4,octobre,13,N,O,CURIETHERAPIE,CRPP,DREAM,HOPITAL BEAUJON,NORD,HOSPITALISATION JOUR,HDJ RIV,HDJ RIV,ldz_structure
67,92398150,H,704,005,NUP,NON,33,0004,0057040004,2020,Qtr 2,avril,17,,,,,2020,Qtr 2,avril,17,2025,Qtr 4,octobre,13,O,O,RECHERCHE,CRPP,PARABOL,HOPITAL BEAUJON,NORD,RECHERCHE,RECH PARABOL 704,RECH PARABOL 704,ldz_structure
68,92000003,H,704,005,NUP,NON,01,1001,0057041001,2007,Qtr 1,janvier,1,,,,,2007,Qtr 1,janvier,1,2025,Qtr 4,octobre,13,O,O,ADMINISTRATION DU POLE,CRPP,PARABOL,HOPITAL BEAUJON,NORD,ADMINISTRATION,DMU PARABOL,DMU PARABOL,ldz_structure
69,92000003,H,704,005,NUP,NON,01,1011,0057041011,2023,Qtr 2,avril,24,,,,,2023,Qtr 2,avril,24,2025,Qtr 4,octobre,13,N,O,ADMINISTRATION DU POLE,CRPP,PARABOL,HOPITAL BEAUJON,NORD,ADMINISTRATION,DEPENSES ROBOT BJN,DEPENSES ROBOT BJN,ldz_structure
70,92320000,H,704,005,NUP,NON,08,1292,0057041292,1996,Qtr 2,juin,1,,,,,1996,Qtr 2,juin,1,2025,Qtr 4,octobre,13,O,O,GYNECOLOGIE OBSTETRIQUE INDIFFERENCIEE,CRPP,PARABOL,HOPITAL BEAUJON,NORD,BLOC OPERATOIRE,BLOC GYNECO OBSTETRI,BLOC GYNECO OBSTETRI,ldz_structure
71,92319900,H,704,005,NUP,NON,23,1613,0057041613,2008,Qtr 1,janvier,1,,,,,2008,Qtr 1,janvier,1,2025,Qtr 4,octobre,13,N,O,CHIRURGIE ADULTE MULTI-DISCIPLINAIRE,CRPP,PARABOL,HOPITAL BEAUJON,NORD,ANESTH.CHIR.AMBULAT.,CHIR AMBU POLE TCR,CHIR AMBU POLE TCR,ldz_structure
72,92319900,H,704,005,NUP,NON,08,1651,0057041651,2000,Qtr 1,janvier,1,,,,,2000,Qtr 1,janvier,1,2025,Qtr 4,octobre,13,O,O,CHIRURGIE ADULTE MULTI-DISCIPLINAIRE,CRPP,PARABOL,HOPITAL BEAUJON,NORD,BLOC OPERATOIRE,BLOCS COMMUNS,BLOCS COMMUNS,ldz_structure
73,92319200,H,704,005,NUP,NON,08,2592,0057042592,2005,Qtr 1,janvier,1,,,,,2005,Qtr 1,janvier,1,2025,Qtr 4,octobre,13,O,O,CHIRURGIE VISCERALE ET DIGESTIVE,CRPP,PARABOL,HOPITAL BEAUJON,NORD,BLOC OPERATOIRE,BLOC CHIR COLO RECT,BLOC CHIR COLO RECT,ldz_structure
74,92312021,H,704,005,NUP,NON,07,2623,0057042623,2008,Qtr 1,janvier,1,,,,,2008,Qtr 1,janvier,1,2025,Qtr 4,octobre,13,O,O,ANESTHESIE HORS REA SC,CRPP,PARABOL,HOPITAL BEAUJON,NORD,CONSULTATIONS,CONSULT.ANESTHESIE,CONSULT.ANESTHESIE,ldz_structure
75,92302420,H,704,005,NUP,NON,07,2633,0057042633,2016,Qtr 1,février,29,,,,,2016,Qtr 1,février,29,2025,Qtr 4,octobre,13,N,O,TRAITEMENT CONTRE LA DOULEUR,CRPP,PARABOL,HOPITAL BEAUJON,NORD,CONSULTATIONS,EQ.MOB.DOULEUR P.OP,EQ.MOB.DOULEUR P.OP,ldz_structure
