CD_METIER,CD_METIER_FAMILLE,Somme de CD_METIER_NB_CAR,CD_METIER_SS_FAMILLE,CD_METIER_TENSION,Année,Trimestre,Mois,Jour,LB_METIER,LB_METIER_FAMILLE,LB_METIER_SS_FAMILLE,Somme de NB_MATRIC
05R400,05,6,05R,N,2024,Qtr 4,novembre,6,Assistant dentaire,Soins,Assistance aux soins,59
05R500,05,6,05R,N,2024,Qtr 4,novembre,6,Auxiliaire de puériculture,Soins,Assistance aux soins,3601
05R600,05,6,05R,N,2024,Qtr 4,novembre,6,Agent de service mortuaire,Soins,Assistance aux soins,245
05R700,05,6,05R,N,2024,Qtr 4,novembre,6,Responsable de service mortuaire,Soins,Assistance aux soins,16
05R900,05,6,05R,N,2024,Qtr 4,novembre,6,Encadrant transport sanitaire,Soins,Assistance aux soins,22
05R950,05,6,05R,N,2024,Qtr 4,novembre,6,Ambulancier,Soins,Assistance aux soins,250
05R951,05,6,05R,N,2024,Qtr 4,novembre,6,Ambulancier SMUR,Soins,Assistance aux soins,284
05RAA0,05,6,05R,N,2024,Qtr 4,novembre,6,Agent en unité de soins,Soins,Assistance aux soins,1763
05RAB0,05,6,05R,N,2024,Qtr 4,novembre,6,Coiffeur,Soins,Assistance aux soins,7
05T100,05,6,05T,N,2024,Qtr 4,novembre,6,Coordinateur de parcours en santé,Soins,Coordination en santé,456
05T200,05,6,05T,N,2024,Qtr 4,novembre,6,Coordinateur prélèvt transpl organe,Soins,Coordination en santé,106
05TAA0,05,6,05T,N,2024,Qtr 4,novembre,6,Gestionnaire de lits,Soins,Coordination en santé,127
05TAB0,05,6,05T,O,2024,Qtr 4,novembre,6,Expert en soins infirmiers,Soins,Coordination en santé,49
05TAC0,05,6,05T,N,2024,Qtr 4,novembre,6,Spécialiste clinique,Soins,Coordination en santé,15
05TAC1,05,6,05T,N,2024,Qtr 4,novembre,6,Spécialiste clinique stomathérapie,Soins,Coordination en santé,31
05TAC2,05,6,05T,N,2024,Qtr 4,novembre,6,Spécialiste clinique en échographie,Soins,Coordination en santé,5
05TAC3,05,6,05T,N,2024,Qtr 4,novembre,6,Spécialiste clinique en douleur,Soins,Coordination en santé,31
05TAC4,05,6,05T,N,2024,Qtr 4,novembre,6,Spécialiste clinique en gériatrie,Soins,Coordination en santé,3
05TAC5,05,6,05T,O,2024,Qtr 4,novembre,6,Spécialiste clinique EEG,Soins,Coordination en santé,57
